1;"""Очень хорошее место, приветливые работники данного барбершопамуж ходит на стрижку и бороду камуфляжВсегда аккуратно и красивоЕсть зона ожидания Очень приятные девочки администраторы, приемлемые ценыРекомендуем Спасибо за качество и сервис"""
1;"""Очень славное место, все чисто, красиво! Мастер, молодой парень, Хамид, просто профи, сразу видно, что работу свою любит, подсказал, постриг, все четко, одним словом! Рекомендую на все 100!"""
1;"""Всем здраствуйте Очень хорошое место все вежливыйе и доброжелательные.Все мастера своего дела.Хочу отдельно отблагодарить мастера Баху очень вжеливый и приятный молодой человек, мастер своего дело всегда доволен его работой.Спасибо"""
1;"""Был впервые в данном салоне, хотелось бы выразить особую благодарность администратору Анне помогла с выбором мастера под запрос, мастер подстриг отлично! Спасибо за качественно выполненную работу и вежливый сервис!"""
1;"""Муж давно посещает данный барбершоп ,всем довольны,мастера прекрасно выполняют свою работу.Стрижки улет.Администраторы приветливы ,встречают с улыбкой.Интерьер интересный Всем рекомендую данное заведение"""
2;"""Дополню отзыв который ниже. Через пару дней позвонила управляющая Дарья, обсудили, принесла извинения за мастера и произвела возврат средств за услугу. Вывод владелец следит за качеством сервиса и услуг и старается их улучшать. Был у Саяна. Ужасное отношение. Грубо, молча, как будто стригусь бесплатно. Мастер курил перед процедурой. От рук воняло табаком так, что запах заглушал запах косметики для бороды. Распаривание небрежное  накинул кое как горячее полотенце без прилегания к лицу. После бритья практически не обработал лицо кремом или лосьоном. Брызнул два раза на шею какимто раствором с фруктовым запахом. Не рекромендую данного мастера. Сам салон  хороший."""
1;"""Спасибо большое Мастеру Саяну за отличную работу при исполнении мужской стрижки. Уже не первый год пользуюсь услугами Парикмахерской Черная Кость, и огромная благодарность всему приветливому и профессиональнлму коллективу! Саяну респект! Спасибо!"""
1;"""Стригусь у мастера Дони больше года.Мастер великолепный и знает своё дело. Не нужно обьяснять, всё понимает без лишних слов!Сам барбер шоп шикарен, администратор Анастасия всегда вежлива и доброжелательно.Однозначно рекомендую."""
1;"""Хорошее место, уже полгода сюда хожу, рад, что нашёл. Последний раз стригся у Хамида. Мне очень понравилось, человек внимательно относится к мелочам и деталям. Ну и результат получился именно тот, какой я хотел """
1;"""Парикмахеры  мастера. Каждый раз выбираю нового, и не жалею. Интересно, когда выбор закончится, что буду делатьЦены приятные, персонал приветлив, чистота."""
